link,description,date,title,location,price,location2
https://london.craigslist.co.uk/roo/d/free-clean-warm-3-bedroom/6542192606.html,"Looking for open-minded female  to help with house chores,  in return they can live rent-free.   Please send a picture and a bit of information about yourself.  House type and facilities <U+2028>Rental  free bed house for let in  Colliers Wood  South London  , located close to London landmarks. fully furnished, self-contained and includes all private facilities. <U+2028><U+2028>Apartment facilities <U+2028><U+393C><U+3E35> self-catering fully fitted kitchen (including Fridge/Freezer, Washing Machine, Microwave, Cooker/Oven, Vacuum Cleaner cookware, cutlery, etc.); <U+2028><U+393C><U+3E35> double bed  <U+393C><U+3E35> furniture: wardrobe, chairs, chest of drawers, dining table, <U+2028><U+393C><U+3E35> free view TV FREE Wi-Fi connection. <U+2028><U+2028> Rent very negotiable.   Looking for female and open-minded",25/03/2018,"Free, clean, warm 3 bedroom house .Cosy for open minded type.  (",Colliers Wood,NA,London
https://london.craigslist.co.uk/roo/d/maisonette-share-very-low/6542127735.html,"I hope you are well.  Extremely low cost accommodation share available for a female South London/Surrey borders near Tooting, Colliers Wood and Mitcham, close to Northern line, District line, mainline, tram, buses.  6ft3in tall Dominant strict gentleman, ideally you will be submissive or switch, kinky and open minded or an interest in exploring the more controlled disciplined lifestyle.  Discreet maisonette in cul de sac, maisonette share, bedroom share, wifi, bath, washer/dryer, ideal for open minded kinky female.   Rent extremely low, small contribution to shared bills. This will be fully discussed and agreed.  Genuine sensible offer, if interested, please get in touch, tell me about yourself and your interest and we can meet for a drink and chat before you decide or commit. More suited to a female,no offence intended.",25/03/2018,Maisonette share very low cost with Dominant strict gentleman S London,Cr4 Mitcham,NA,London
https://cardiff.craigslist.co.uk/roo/d/1-bedroom-flat/6538058008.html,"Clean/warm and modern 1 bedroom flat available to share with nice non smoking pet free female +40 yrs,(random postcode & not correct postcode of whereabouts of property)  Genuine posting no timewasters/males need reply",21/03/2018,1 bedroom flat,Swansea,50,Swansea
https://london.craigslist.co.uk/sha/d/flatshare-with-pets/6515912115.html,Looking for a room in Fulham?Female open to an arrangement if your different.Just be serious!!!!,20/03/2018,Flatshare with pets?,NA,NA,London
https://london.craigslist.co.uk/roo/d/lovely-room/6535706522.html,50 per week   All bills included Internet gas electric   Female only   Email for details  show contact info,19/03/2018,Lovely room,Ashford,NA,London
https://london.craigslist.co.uk/vac/d/free-holiday-room/6534767244.html,"Hi  NICE BEDROOM FOR FREE FOR A FEMALE FOR HELP WITH CHORES in FREE TIME.  Free nice double bedroom, located close to Old Street Tube Station in Central London in Zone 1 in a very nice, safe and central area.  This area is very popular as there are plenty of restaurants, coffee shops, clubs, pubs, many shops, also Tesco and Sainsbury's just two minutes walk from the home. Close to Brick lane.  Very good public transport services well connected with Old Street Tube Station, Hoxton Train Station, and many buses are runs day and night.  Need a decent person help with basic chores in free time.  The free double bedroom is for free for a female ( female student or female working person).  Female must be over 18, any nationality and nice person.  Not share room and you have your own furnished double bedroom.  No pay for rent and no pay for bills.  Newly fully furnished, neat and clean.   The free double bedroom has new furniture, new king size bed with bedding, desk, chair, wardrobe, nice window, etgc  New shared kitchen and NEW shared bathroom.  FREE fast unlimited wifi connection.  Welcome to stay for free for long term / 3 MONTH, OR 6 MONTH, OR ONE YEAR, OR LONGER ......  Tell me bit about yourself with your contact deatils  See you",18/03/2018,FREE HOLIDAY ROOM,In Zone 1 Near To Old Street,NA,London
https://london.craigslist.co.uk/roo/d/private-social-care-wanted/6553296470.html,"Genuine advert Private Social Care Wanted Free Rent House Share Free Food, Drinks, Usage of all facilities, No House Rules, Come and go as one please, Own Space, only offered to a Reliable caring truthfully trustworthy honest Single Open Minded young or Mature Females only ,..Must be Capable to do light house chores , Cooking, Washing etc,...as well to help and Aid a Single Open Minded White British Mature kind Considerate Generous Soft hearted by nature Calm Giving caring loyal Clean Disabled Gentleman at all times ,.....Application open now ready to view or move in ,...if interested please apply with details of one self as well a photograph of oneself for security ,.....for mine in return offers are open to short or long term stays , Offer open as well to females who can or can not drive but willing to learn to drive with all expensive paid for in return to receive a vehicle in return for their needs as well for the Gentleman's need's to get from "" A to B "",...hope to hear from you soon who ever you may be thank you .",08/04/2018,Private Social Care Wanted Free Rent House Share Single Females Only,Zone 6,NA,London
https://london.craigslist.co.uk/sha/d/1-bedroom-needed/6530961565.html,18 female single.No pets and non smoker.Needing a 1 bedroom flat by April .Prefer East end but any place I'll seriously consider.Must be no more than housing benefit Rate <U+613C><U+3E33>161.02 per week.Thankyou .kirsten,17/03/2018,1 bedroom needed,London,NA,London
https://london.craigslist.co.uk/roo/d/clean-room-available/6532755549.html,Female only.  60 pounds per week.   Lovely room share kitchen and bathroom with landlord   Available may,16/03/2018,Clean room available,Kent,NA,London
https://london.craigslist.co.uk/roo/d/room-for-rent/6531818860.html,"Hey, got a spare room for rent, decent sized double room with built in cupboard. Furniture can be supplied. I am looking for a Female tenant, some one thats clean and respectful. I would offer a suggestion of a different arrangement instead of money but i am happy either way. Please get back to me with any other questions. 1st time i have advertised a room for rent. Regarding rent like i said i am ipen to offers and maybe we can work something out.  Thanks",15/03/2018,Room for rent,NA,NA,London
